# Lighthouse Bulk Performance Report
# Generated: 2026-03-17
# URLs Analyzed: 19
# Average Scores - Performance: 58.2 | Accessibility: 88.2 | SEO: 92.2 | Best Practices: 82.0
#
URL,Performance,Accessibility,SEO,Best Practices,FCP,LCP,TBT,CLS,TTI,Strategy,Fetched At
https://edenmaystudio.co.uk,70.0,95.0,100.0,92.0,2.4 s,5.3 s,60 ms,0,17.7 s,mobile,2026-03-17T06:34:59.773Z
https://fashioneyewear.com,33.0,93.0,92.0,73.0,2.9 s,29.7 s,"1,910 ms",0.037,35.1 s,mobile,2026-03-17T06:35:04.907Z
https://buttahlondon.com,39.0,89.0,92.0,73.0,2.4 s,6.8 s,"2,010 ms",0.002,20.6 s,mobile,2026-03-17T06:35:18.057Z
https://ayamset.com,61.0,87.0,92.0,92.0,1.8 s,8.0 s,400 ms,0.001,16.6 s,mobile,2026-03-17T06:34:59.887Z
https://ibizafashionfestival.com,82.0,92.0,92.0,92.0,1.0 s,4.8 s,30 ms,0.026,6.2 s,mobile,2026-03-17T06:35:07.204Z
https://comhla.co.uk,56.0,77.0,85.0,92.0,3.3 s,6.6 s,310 ms,0,12.1 s,mobile,2026-03-17T06:35:31.996Z
https://abtany.com,74.0,96.0,92.0,92.0,2.3 s,5.5 s,100 ms,0,13.7 s,mobile,2026-03-17T06:35:33.781Z
https://heidiklein.com,74.0,86.0,92.0,92.0,2.4 s,4.4 s,200 ms,0.025,15.3 s,mobile,2026-03-17T06:35:42.024Z
https://bbxbrand.com,62.0,93.0,100.0,73.0,3.0 s,5.3 s,190 ms,0.129,37.4 s,mobile,2026-03-17T06:35:44.166Z
https://amelry.com,71.0,97.0,100.0,54.0,2.3 s,2.4 s,660 ms,0.111,24.4 s,mobile,2026-03-17T06:36:10.829Z
https://havvamustafa.com,53.0,88.0,85.0,73.0,1.8 s,4.3 s,980 ms,0,22.6 s,mobile,2026-03-17T06:36:31.199Z
https://farafieldclothing.com,43.0,95.0,100.0,73.0,4.4 s,30.3 s,520 ms,0,44.3 s,mobile,2026-03-17T06:36:41.507Z
https://batchldn.com,51.0,68.0,92.0,92.0,3.5 s,13.8 s,380 ms,0,31.0 s,mobile,2026-03-17T06:36:34.035Z
https://kopila.co.uk,65.0,92.0,92.0,92.0,2.9 s,9.8 s,0 ms,0,10.1 s,mobile,2026-03-17T06:36:34.537Z
https://chunkclothing.com,71.0,91.0,92.0,92.0,2.0 s,5.0 s,80 ms,0,15.3 s,mobile,2026-03-17T06:37:00.436Z
https://chouette-sauvageonne.com,72.0,84.0,85.0,73.0,1.7 s,5.9 s,50 ms,0.001,10.5 s,mobile,2026-03-17T06:36:57.678Z
https://bog-dog.co.uk,45.0,89.0,85.0,92.0,2.7 s,7.6 s,880 ms,0,19.5 s,mobile,2026-03-17T06:37:21.628Z
https://collenandclare.com,45.0,84.0,92.0,73.0,3.4 s,5.9 s,920 ms,0,19.9 s,mobile,2026-03-17T06:37:37.809Z
https://fasforartssake.com,38.0,79.0,92.0,73.0,3.3 s,10.1 s,"1,200 ms",0,28.7 s,mobile,2026-03-17T06:37:46.932Z

AVERAGE,58.2,88.2,92.2,82.0,,,,,,,
